Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-92.74002	-253.5527	160.8126	1.172299	2.023282	0.8466946
6	-103.098	-263.9221	160.8242	1.007262	2.023282	1.013213
12	-93.40892	-252.909	159.5	1.128561	5.945945	0.7723018
18	-90.68558	-251.7796	161.094	1.067471	1.087661	1.322219
24	-96.74428	-257.0955	160.3512	1.122756	3.18545	0.7837773
30	-100.5914	-260.937	160.3456	1.257755	2.878505	0.7837773
36	-102.0279	-263.1368	161.1089	0.7128825	1.923579	1.079132
42	-100.1768	-259.4471	159.2703	0.7128825	5.12822	1.548383
48	-102.9481	-261.8093	158.8612	0.7405695	4.043955	2.040965
54	-94.45514	-254.0958	159.6407	0.5358781	0.6648325	2.952525
60	-91.76173	-251.4391	159.6774	0.5702388	4.054648	1.592062
66	-98.23388	-256.5551	158.3212	0.4397584	6.560928	2.145179
72	-101.6167	-259.7993	158.1826	0.2114311	2.668774	3.127915
78	-85.17299	-245.7338	160.5608	0.3215458	1.846777	1.838959
84	-98.29986	-257.6758	159.3759	0.169211	1.91077	2.675265
90	-87.87186	-248.3956	160.5238	0.3924014	2.394762	1.597666
96	-94.76342	-255.4437	160.6803	0.6057738	0.8886693	2.089316
102	-96.50062	-255.5676	159.067	0.5820661	5.504929	1.716842
108	-89.00084	-248.3228	159.322	0.1067837	5.504929	1.869612
114	-85.61489	-245.1844	159.5695	0.392999	4.012968	1.804118
120	-88.8256	-248.1586	159.333	0.443297	4.329298	1.861388
126	-91.09172	-249.657	158.5652	0.7476695	9.160523	1.405434
132	-88.71141	-248.0367	159.3253	1.512013	5.528022	0.5558298
138	-92.50155	-251.743	159.2415	1.210205	7.223687	0.4825186
144	-86.92083	-247.05	160.1291	1.737473	2.318431	0.2915411
150	-85.72359	-245.3293	159.6057	1.737473	3.648499	0.3340014
156	-87.45519	-249.7979	162.3427	1.403057	0.3843393	0.4193034
162	-83.28487	-245.6649	162.3801	0.6207821	0.3574761	1.433694
168	-90.15285	-251.2984	161.1455	0.2446874	0.7177294	2.153066
174	-95.20568	-255.1795	159.9738	0.1795417	0.7177294	2.924663
180	-96.27106	-259.1168	162.8457	0.03292683	0.4487763	1.392482
186	-92.25699	-253.159	160.902	0.03292683	0.4487763	2.694374
192	-86.25293	-248.4767	162.2238	1.41445	0.4439406	0.5733811
198	-88.04134	-250.625	162.5837	1.41445	0.2628528	0.3818374
204	-85.81951	-248.1976	162.3781	1.41445	0.358641	0.4067713
210	-90.26974	-252.6676	162.3979	1.41445	0.358641	0.50696
216	-89.44949	-251.7103	162.2608	1.294663	0.4792602	0.6347396
222	-94.89415	-254.1516	159.2574	0.510934	5.227287	1.684409
228	-93.09369	-253.9114	160.8177	0.2695641	0.5975936	2.451316
234	-93.23514	-253.7983	160.5631	0.2035281	0.3579424	2.903058
240	-98.51732	-258.4581	159.9407	0.3716348	2.271712	2.058153
246	-103.1789	-263.6684	160.4895	0.1637652	1.324759	2.235881
252	-101.7486	-262.408	160.6593	0.140939	1.357939	2.123291
258	-101.6074	-262.28	160.6726	0.05054649	1.921803	1.916021
264	-109.4816	-269.2731	159.7915	0.7614839	3.019991	1.651025
270	-106.4021	-265.4904	159.0883	0.5757884	4.439494	1.914307
276	-101.2919	-261.371	160.0791	0.3904379	1.624364	2.210289
282	-98.13984	-258.6538	160.514	0.1607152	2.786852	1.636639
288	-96.33023	-256.1073	159.7771	0.2558344	2.372872	2.206264
294	-100.1873	-260.1436	159.9563	0.6318646	3.593397	1.458652
300	-86.71021	-246.9005	160.1903	0.1847175	2.189091	2.04616
306	-88.90765	-248.5033	159.5957	0.5648055	4.266882	1.605115
312	-91.68655	-251.1441	159.4575	1.051384	3.549282	1.530434
318	-93.08871	-253.07	159.9813	0.3717752	4.256372	1.464749
324	-88.25838	-247.76	159.5016	1.023158	6.570578	0.707735
330	-96.78128	-257.8205	161.0392	0.05826401	3.682697	0.9979768
336	-92.8168	-252.0087	159.1919	0.04940483	4.163423	2.250369
342	-91.94354	-252.1426	160.199	0.07098662	2.698705	1.945549
348	-100.0867	-261.4069	161.3202	0.07474143	0.5561242	2.2957
354	-97.2692	-257.1094	159.8402	0.3834719	4.135141	1.590188
360	-98.2869	-258.5878	160.3009	0.06140248	1.854683	2.182081
366	-98.40627	-260.7784	162.3721	0.6373664	0.4833811	1.238365
372	-100.1514	-258.4164	158.2649	0.3409104	3.708103	2.745174
378	-93.05751	-252.8139	159.7564	0.5401091	3.822559	1.614089
384	-84.84032	-244.9017	160.0614	0.1915437	3.429366	1.747188
390	-85.11783	-244.7718	159.654	0.7103159	3.429366	1.668474
396	-84.71638	-244.1528	159.4364	0.8738497	5.98694	1.106128
402	-92.27172	-251.3278	159.0561	0.6230275	5.126319	1.766614
408	-98.80015	-258.4106	159.6104	0.4424968	5.126319	1.496868
414	-95.83675	-254.3807	158.5439	0.6459285	7.997738	1.652128
420	-92.70518	-251.2508	158.5456	0.3738443	6.206885	2.094568
426	-92.7188	-251.0572	158.3384	0.2314965	6.206885	2.320587
432	-87.6255	-247.5164	159.8909	0.8145678	2.836296	1.598321
438	-89.13398	-247.6302	158.4962	0.5929162	11.205	1.331128
444	-81.93137	-241.0737	159.1423	0.7476746	6.781066	1.309583
450	-82.33177	-241.81	159.4782	0.07494114	6.781066	1.568031
456	-89.97615	-248.4407	158.4645	0.3419803	6.781066	2.083492
462	-89.57973	-248.1936	158.6138	0.5734138	8.511142	1.585241
468	-85.96875	-245.7682	159.7994	0.9514369	5.151127	0.8774334
474	-85.2794	-245.0211	159.7417	0.5989713	5.151127	1.265703
480	-94.49792	-254.4549	159.957	0.854148	4.870222	0.8984041
486	-98.22452	-257.7263	159.5018	0.6375107	4.870222	1.485943
492	-92.28123	-252.4232	160.142	1.296106	3.537553	0.5990918
498	-88.2371	-248.7519	160.5148	1.303847	2.288545	0.8700867
504	-87.61962	-247.5353	159.9157	0.8216512	4.842728	0.9855447
510	-91.19818	-250.9518	159.7536	0.6691084	2.589403	1.876944
516	-92.60901	-252.9917	160.3827	0.5562764	3.419264	1.231029
522	-104.2716	-264.3373	160.0656	1.361394	2.649569	1.087796
528	-104.8085	-263.3653	158.5569	0.7161566	5.43069	1.987813
534	-99.49485	-258.7803	159.2854	0.5061891	3.864249	1.95512
540	-97.92621	-258.1885	160.2622	0.9409705	2.53704	1.325325
546	-89.69191	-249.6702	159.9782	1.202537	4.115804	0.7154073
552	-88.46019	-248.6868	160.2266	0.9234728	3.252623	1.103135
558	-87.99933	-247.4292	159.4298	0.7501822	3.252623	1.845445
564	-95.50457	-256.4823	160.9777	0.007661365	1.127023	2.130599
570	-90.86008	-250.0094	159.1493	0.7089409	7.086267	1.28223
576	-87.95469	-247.1081	159.1534	0.7089409	7.086267	1.278862
582	-88.4343	-248.4921	160.0578	0.7089409	3.990183	1.20332
588	-90.59331	-249.9231	159.3298	1.059872	7.173112	0.716369
594	-91.5279	-250.8892	159.3613	0.6422109	3.522289	1.894959
600	-102.8711	-260.9961	158.125	0.8124809	4.78213	2.322954
606	-92.10684	-252.286	160.1792	0.8124809	3.006299	1.324304
612	-92.25401	-251.4183	159.1643	0.7016233	8.614964	1.012347
618	-94.62102	-253.9063	159.2853	1.440862	5.769548	0.6860141
624	-89.19717	-247.668	158.4708	1.440862	10.26384	0.4887158
630	-100.0017	-259.1154	159.1138	0.538703	5.003711	1.808725
636	-93.695	-252.5734	158.8784	0.3322172	6.617008	1.836339
642	-90.72847	-249.8104	159.0819	0.6626349	8.343942	1.169902
648	-93.49837	-253.4414	159.9431	1.042979	2.606254	1.468592
654	-84.32318	-244.4901	160.1669	1.172628	3.727033	0.6691777
660	-90.32733	-249.263	158.9357	1.088298	9.061369	0.7325501
666	-93.01815	-251.111	158.0928	0.7293189	9.061369	1.776388
672	-97.29739	-256.8249	159.5275	0.7780782	3.560014	1.675361
678	-94.09205	-253.3307	159.2386	0.08491355	4.716007	2.085758
684	-97.5383	-256.6707	159.1324	1.66074	5.035948	0.2557235
690	-90.65326	-250.3655	159.7122	0.6269133	2.934298	1.826845
